ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S0718-560X2015000400007-chl","Research on the river shrimps of the genus Macrobrachium (Bate, 1868) (Decapoda: Caridea: Palaemonidae) with known or potential economic importance: strengths and weaknesses shown through scientometrics","Chong-Carrillo, Olimpia, Vega-Villasante, Fernando, Arencibia-Jorge, Ricardo, Akintola, Shehu L, Michán-Aguirre, Layla, Cupul-Magaña, Fabio G","Latin american journal of aquatic research; 43(4); 684-690","Latin american journal of aquatic research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2015000400007&lang=pt" 
"S0103-73312015000300975-spa","Estudos métricos em Saúde Coletiva: um olhar sobre a produção científica brasileira indexada nas bases de dados internacionais","Lins, Rosane Abdala, Guimarães, Maria Cristina Soares, Pires-Alves, Fernando Antônio, Silva, Cícera Henrique da","Physis: Revista de Saúde Coletiva; 25(3); 975-992","Physis: Revista de Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000300975&lang=pt" 
"S0103-73312015000300975-scl","Estudos métricos em Saúde Coletiva: um olhar sobre a produção científica brasileira indexada nas bases de dados internacionais","Lins, Rosane Abdala, Guimarães, Maria Cristina Soares, Pires-Alves, Fernando Antônio, Silva, Cícera Henrique da","Physis: Revista de Saúde Coletiva; 25(3); 975-992","Physis: Revista de Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312015000300975&lang=pt" 
"S0034-98872015000800003-chl","Análisis de las publicaciones biomédicas chilenas indizadas en PubMed, en los años 2008 y 2009","Valdés S, Gloria, Pérez G, Fernanda, Reyes B, Humberto","Revista médica de Chile; 143(8); 979-986","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800003&lang=pt" 
"S0001-37652015000201233-scl","Brazilian impact factor of physics journals - the third side of the coin","Mohallem, José R., Fonseca, Norma E. da","Anais da Academia Brasileira de Ciências; 87(2); 1233-1238","Anais da Academia Brasileira de Ciências","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652015000201233&lang=pt" 
"S0103-37862015000100047-scl","Cientometria: a produção científica de Haity Moussatché","Costa, Elaine Kabarite, Guimarães, Maria Cristina Soares, Silva, Cícera Henrique da","Transinformação; 27(1); 47-58","Transinformação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862015000100047&lang=pt" 
"S1413-24782015000100245-scl","Más condutas científicas uma abordagem crítico-comparativa para in-formar uma reflexão sobre o tema","VILAÇA, MURILO MARIANO","Revista Brasileira de Educação; 20(60); 245-269","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000100245&lang=pt" 
"S1794-44492015000100016-col","Lo que el dinero no puede comprar... ni la cienciometría medir. Una propuesta humanista del conocimiento frente al mercantilismo cienciométrico","Irizar, Liliana Beatriz, Estupiñán Achury, Liliana, Noguera Pardo, Camilo, González Camargo, Javier, Barragán, Laura Camila","Revista Lasallista de Investigación; 12(1); 162-176","Revista Lasallista de Investigación","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-44492015000100016&lang=pt" 
"S0123-91552015000100016-col","ANÁLISE DA PRODUÇÃO CIENTÍFICA EM ARTIGOS SOBRE ESTUDOS TRANSCULTURAIS NA AVALIAÇÃO PSICOLÓGICA EM BASES ONLINE","Joly, Maria Cristina Rodrigues Azevedo, Bustamante, Maria Inês, Oliveira, Sandra Maria da Silva Sales","Acta Colombiana de Psicología; 18(1); 173-183","Acta Colombiana de Psicología","Português","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-91552015000100016&lang=pt" 
"S0102-79722015000600066-scl","Pathways to Internationalize Brazilian Journals of Psychology","Gamba, Estêvão C., Packer, Abel Laerte, Meneghini, Rogerio","Psicologia: Reflexão e Crítica; 28(); 66-71","Psicologia: Reflexão e Crítica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722015000600066&lang=pt" 
